City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,bandarbeyla,9.4942,50.8122,301.32,68,0,4.38,SO,1681742347
209,xiongyue,40.1774,122.1228,284.16,60,100,8.03,CN,1681742347
210,narsaq,60.9167,-46.05,280.27,68,100,2.11,GL,1681742348
211,rawson,-43.3002,-65.1023,283.91,43,4,3.5,AR,1681742349
212,fairbanks,64.8378,-147.7164,264.13,84,100,1.54,US,1681742349
213,ilulissat,69.2167,-51.1,269.16,80,75,6.69,GL,1681742350
214,muscatine,41.4667,-91.1335,278.76,58,83,11.83,US,1681742350
215,port hardy,50.6996,-127.4199,278.15,81,100,8.75,CA,1681742351
216,topeka,39.0483,-95.678,284.5,41,0,3.6,US,1681742322
217,kruisfontein,-34.0033,24.7314,296.14,39,0,1.63,ZA,1681742352
218,pastavy,55.1168,26.8326,286.89,52,33,2.52,BY,1681742353
219,constitucion,-35.3333,-72.4167,287.67,51,0,4.76,CL,1681742353
220,nome,64.5011,-165.4064,252.19,77,0,0.0,US,1681742354
221,port augusta,-32.5,137.7667,290.74,47,98,1.13,AU,1681742355
222,kingaroy,-26.5333,151.8333,289.87,83,34,5.5,AU,1681742265
223,bataipora,-22.2953,-53.2711,300.18,79,5,3.57,BR,1681742356
224,laguna,38.421,-121.4238,284.29,87,100,5.66,US,1681742356
225,nazca,-14.8333,-74.95,298.02,59,91,2.2,PE,1681742357
226,benjamin aceval,-24.9667,-57.5667,295.23,94,100,1.78,PY,1681742358
227,saint-pierre,-21.3393,55.4781,300.97,69,0,1.54,RE,1681742359
228,beihai,21.4833,109.1,298.02,89,13,7.04,CN,1681742360
229,chernyy yar,48.0624,46.1091,287.33,28,39,4.04,RU,1681742361
230,camacha,33.0833,-16.3333,292.83,68,40,7.72,PT,1681742363
231,waddan,29.1614,16.139,300.15,20,0,3.41,LY,1681742363
232,saint-georges,12.0564,-61.7485,301.97,65,40,8.23,GD,1681742364
233,sur,22.5667,59.5289,300.87,60,36,2.15,OM,1681742364
234,kurilsk,45.2333,147.8833,272.29,85,100,12.5,RU,1681742365
235,saskylakh,71.9167,114.0833,251.65,100,96,1.93,RU,1681742366
236,san patricio,28.017,-97.5169,297.07,48,3,5.75,US,1681742366
237,nhamunda,-2.1861,-56.7131,300.83,84,100,1.62,BR,1681742367
238,bam,29.106,58.357,297.55,21,98,5.06,IR,1681742368
239,harpalpur,25.2884,79.3347,308.71,12,10,4.0,IN,1681742368
240,wajima,37.4,136.9,282.77,77,66,4.61,JP,1681742294
241,dikson,73.5069,80.5464,255.93,100,53,2.65,RU,1681742369
242,chornukhy,50.2673,32.942,287.01,41,61,5.9,UA,1681742370
243,willowmore,-33.2926,23.4895,301.71,12,1,4.55,ZA,1681742371
244,khatanga,71.9667,102.5,255.08,98,72,3.68,RU,1681742371
245,fatehpur,25.9333,80.8,308.15,11,1,3.77,IN,1681742136
246,remedios,22.4947,-79.5458,302.66,57,0,1.75,CU,1681742372
247,igarka,67.4667,86.5833,257.37,93,100,2.31,RU,1681742375
248,dagda,56.0951,27.5372,283.8,74,99,1.71,LV,1681742376
